success,truncated,collision,n_steps,obj_id,map,corridor_width,corridor_width_for_robot
True,False,False,84,0,square_middle_corr_30,12.0,12.0
True,False,False,41,0,square_middle_corr_30,12.0,12.0
True,False,False,101,0,square_middle_corr_30,12.0,12.0
True,False,False,112,0,square_middle_corr_30,12.0,12.0
True,False,False,61,0,square_middle_corr_30,12.0,12.0
True,False,False,176,0,square_middle_corr_30,12.0,12.0
True,False,False,110,0,square_middle_corr_30,12.0,12.0
True,False,False,71,0,square_middle_corr_30,12.0,12.0
True,False,False,105,0,square_middle_corr_30,12.0,12.0
True,False,False,80,0,square_middle_corr_30,12.0,12.0
True,False,False,142,0,square_middle_corr_30,12.0,12.0
True,False,False,124,0,square_middle_corr_30,12.0,12.0
True,False,False,46,0,square_middle_corr_30,12.0,12.0
True,False,False,79,0,square_middle_corr_30,12.0,12.0
True,False,False,93,0,square_middle_corr_30,12.0,12.0
True,False,False,47,0,square_middle_corr_30,12.0,12.0
True,False,False,68,0,square_middle_corr_30,12.0,12.0
True,False,False,72,0,square_middle_corr_30,12.0,12.0
True,False,False,119,0,square_middle_corr_30,12.0,12.0
True,False,False,143,0,square_middle_corr_30,12.0,12.0
True,False,False,56,0,square_middle_corr_30,12.0,12.0
True,False,False,66,0,square_middle_corr_30,12.0,12.0
True,False,False,97,0,square_middle_corr_30,12.0,12.0
True,False,False,159,0,square_middle_corr_30,12.0,12.0
True,False,False,103,0,square_middle_corr_30,12.0,12.0
True,False,False,69,0,square_middle_corr_30,12.0,12.0
True,False,False,70,0,square_middle_corr_30,12.0,12.0
True,False,False,40,0,square_middle_corr_30,12.0,12.0
True,False,False,83,0,square_middle_corr_30,12.0,12.0
True,False,False,64,0,square_middle_corr_30,12.0,12.0
True,False,False,87,0,square_middle_corr_30,12.0,12.0
True,False,False,53,0,square_middle_corr_30,12.0,12.0
True,False,False,43,0,square_middle_corr_30,12.0,12.0
True,False,False,60,0,square_middle_corr_30,12.0,12.0
True,False,False,29,0,square_middle_corr_30,12.0,12.0
True,False,False,30,0,square_middle_corr_30,12.0,12.0
True,False,False,124,0,square_middle_corr_30,12.0,12.0
True,False,False,102,0,square_middle_corr_30,12.0,12.0
True,False,False,119,0,square_middle_corr_30,12.0,12.0
True,False,False,95,0,square_middle_corr_30,12.0,12.0
True,False,False,109,0,square_middle_corr_30,12.0,12.0
True,False,False,172,0,square_middle_corr_30,12.0,12.0
True,False,False,69,0,square_middle_corr_30,12.0,12.0
True,False,False,101,0,square_middle_corr_30,12.0,12.0
True,False,False,51,0,square_middle_corr_30,12.0,12.0
True,False,False,91,0,square_middle_corr_30,12.0,12.0
True,False,False,144,0,square_middle_corr_30,12.0,12.0
True,False,False,40,0,square_middle_corr_30,12.0,12.0
True,False,False,54,0,square_middle_corr_30,12.0,12.0
