id,success,corridor_width,trajectory_efficiency,init_distance
0,True,9.123012121332026,1.0681316390786815,5.0
1,True,11.049357330687515,1.7580997799985998,5.0
2,True,11.96503624264977,1.3242064173791515,5.0
3,True,8.63830259066224,1.2997160711709048,5.0
4,True,18.30984176520475,17.25211435121057,5.0
5,True,12.225227557141586,2.511659591601359,5.0
6,True,12.031471230297752,2.6437105884653462,5.0
7,True,10.43696022521217,1.0240920040259582,5.0
8,True,10.003760272464037,1.076054106018929,5.0
9,True,11.735659175197169,1.5707713235740786,5.0
10,True,10.929434728049092,1.083457714860577,5.0
11,True,11.824515948470665,2.5319718929103825,5.0
12,True,11.131964024066018,1.1801679560405656,5.0
13,True,11.509599297865279,1.3065753978814734,5.0
14,True,10.227470372971037,1.2449842115608656,5.0
15,True,10.717069312871688,1.3362235827608626,5.0
16,True,10.378672297688173,1.2535836494192958,5.0
17,True,8.539952783763146,1.1827035627513214,5.0
18,False,8.489777719747508,1.0000000288091557,5.0
19,True,8.820721234623852,1.0001500218078971,5.0
20,True,12.127907485336749,1.397148248324638,5.0
21,True,10.624848091512233,1.1675792733502337,5.0
22,True,13.31451446984071,2.157812528410666,5.0
23,True,9.36818353146101,1.0751885082668442,5.0
24,True,9.925493464882043,1.0172560099982957,5.0
25,True,11.878091540239666,2.6779221689274273,5.0
26,True,10.079681117766441,1.1873136547261003,5.0
27,True,10.327896819242778,1.0273364608580546,5.0
28,True,13.068133286121617,4.15381905997874,5.0
29,True,10.55873030619972,1.2714242321581926,5.0
30,True,8.79030907691049,1.3666946598896108,5.0
31,True,11.150608411203509,2.1927617335704426,5.0
32,True,9.627834457435984,1.007444493727504,5.0
33,True,11.454933394645169,1.0726842419113103,5.0
34,True,21.78361710883837,11.830026955442111,5.0
35,True,10.4158942410475,1.0589283874140696,5.0
36,True,18.023644205557,7.001165335740666,5.0
37,True,28.135320772251553,9.993756045817873,5.0
38,True,10.209460043774238,1.150131872899243,5.0
39,True,11.56062817742129,1.5606427869041892,5.0
40,True,16.26051834228978,3.803801314740508,5.0
41,True,17.43877453022651,5.01381486109452,5.0
42,True,20.412012898168964,5.830712802510426,5.0
43,True,8.779077717586551,1.2700364688288726,5.0
44,True,22.778278155446607,5.495693545908384,5.0
45,True,11.617671608868374,1.1268089642518624,5.0
46,True,11.035200662959921,1.065477003348596,5.0
47,True,9.48981013250128,2.318381694036199,5.0
48,True,9.201520511211571,1.3250405521684026,5.0
49,True,11.561808959856606,2.692916850645748,5.0
50,True,16.61879717834961,3.6229937315079024,5.0
51,True,9.756353158013827,1.1398793833871306,5.0
52,True,11.692853705295217,1.758893467653518,5.0
53,True,8.13596046617805,1.071505642548162,5.0
54,True,12.542737510705047,1.9270587547893914,5.0
55,True,11.894233518032543,1.0705200881157937,5.0
56,True,9.200766072630634,1.194720268509648,5.0
57,True,10.262119330099903,2.4051809569788785,5.0
58,True,8.930760936324168,1.2049902644963384,5.0
59,True,9.211613102404149,1.15362575230819,5.0
60,True,12.860400605794608,1.8261206176146043,5.0
61,True,9.188478784106398,1.1580663598899366,5.0
62,True,11.191538942992702,1.4680220514974054,5.0
63,True,20.4200723691215,17.68812291252411,5.0
64,True,9.823535874314029,1.0968795765396089,5.0
65,True,11.613141460888471,1.166863172705576,5.0
66,True,11.304772513244824,1.0021769823812248,5.0
67,True,12.199291344732888,1.402674658527101,5.0
68,True,11.229810876567187,1.1370864532248408,5.0
69,True,10.886486391819712,1.2806488319495646,5.0
70,True,10.084153831642777,1.0167252877603254,5.0
71,True,10.535559846215692,1.0030548726440187,5.0
72,True,11.336386905382096,1.53338182291529,5.0
73,True,9.091124148824928,1.1257364535307832,5.0
74,True,9.610736496974198,1.4622728313077564,5.0
75,True,9.597219349343119,1.056705567202434,5.0
76,True,13.484642088126554,1.932946892513124,5.0
77,True,11.667363923375198,1.509594375762382,5.0
78,True,9.427638346359716,1.0262910566076835,5.0
79,True,13.752487497677127,2.606750111025516,5.0
80,True,9.553329206330718,1.2425460002458222,5.0
81,True,9.917681233177428,1.281974821186255,5.0
82,True,12.14047309700658,1.7255417138984979,5.0
83,True,11.57516956306954,1.7009284974900674,5.0
84,True,12.013681157070508,2.3016291740815045,5.0
85,True,29.70450848504018,10.008125238090695,5.0
86,True,11.944437350151414,1.2792389368160233,5.0
87,True,10.341791994220955,1.0145235483808173,5.0
88,False,13.288973033970768,1.4675862425527704,5.0
89,True,10.37193213735652,1.0025552855721276,5.0
90,True,9.658970078895416,1.2723076504625257,5.0
91,True,8.809296787383426,1.2162546440978796,5.0
92,True,11.435290708742105,1.038855044820851,5.0
93,True,10.109535405652458,1.2909021617531466,5.0
94,True,10.447476082806803,1.2133047319546975,5.0
95,True,13.308364233596148,3.0795682356968794,5.0
96,True,8.753179136294563,1.0238456894802674,5.0
97,True,20.46207573676601,9.29774400679167,5.0
98,True,10.454161204199506,1.0495263194678668,5.0
99,True,10.792528700527587,1.2483468459894176,5.0
100,True,11.291789187710298,1.3512904061661626,5.0
101,True,10.854653280754988,1.1131163094503544,5.0
102,True,9.394546815328008,1.0373262774505156,5.0
103,True,9.66158249957743,1.048358656405138,5.0
104,True,17.016340667021282,4.868429168792246,5.0
105,True,8.996812823976871,1.148508791393997,5.0
106,True,10.833252123382376,1.333248749987447,5.0
107,True,11.219035474684606,1.1138347451423025,5.0
108,True,11.60032278966537,1.1811249713006864,5.0
109,True,10.855618676633965,1.3911091827315787,5.0
110,True,7.926612904269864,1.1003666526407325,5.0
111,True,9.235001894946372,1.2302526171499952,5.0
112,True,10.619500245957699,1.4276240832987306,5.0
113,True,10.74754199212899,1.2978711530023506,5.0
114,True,12.268416308570695,1.9923954267007984,5.0
115,True,10.56678331620267,3.3212596554110636,5.0
116,True,13.700791831553214,2.081249412040559,5.0
117,True,9.400649094506111,1.3843360836527454,5.0
118,True,14.104809915181672,4.933074533706486,5.0
119,True,10.731139671660683,1.0621932418396176,5.0
120,True,12.1690398287103,1.5124869681436244,5.0
121,True,10.300173669792176,1.1858664102122265,5.0
122,True,12.18212998744275,1.2181379999775663,5.0
123,True,9.739754616951279,1.1087070160521504,5.0
124,True,9.43255739926596,1.0379415946484756,5.0
125,True,9.14336570281627,1.009674665084048,5.0
126,True,13.766315761845123,2.346182013458262,5.0
127,True,9.104190617995481,1.0101790714581191,5.0
128,True,12.737306884252966,1.6702809773544243,5.0
129,True,24.903027783452377,22.19714367980831,5.0
130,True,8.93775583596648,1.2903025225409748,5.0
131,True,9.35328230610673,1.0011106679958892,5.0
132,True,12.380667960498782,2.8370464559783573,5.0
133,True,10.203293661053534,1.0193888252105283,5.0
134,True,10.591648936919137,1.1430234713448348,5.0
135,True,11.475574531968215,1.0894412962716304,5.0
136,True,11.504104644152543,1.5887442893031545,5.0
137,True,8.589548823527002,1.057181747782899,5.0
138,True,30.545996862660942,12.880995239146294,5.0
139,True,9.91155493466431,1.2779720663430423,5.0
140,True,11.036798593379524,1.0498536546352626,5.0
141,True,10.009637595366097,1.064515114567945,5.0
142,True,9.2880632981467,1.139785488866181,5.0
143,True,10.903250461222342,1.106662718800342,5.0
144,True,10.6326642053426,1.2682436610171892,5.0
145,True,10.51569530180303,1.811041856963045,5.0
146,True,10.66087730913098,1.3521585305811337,5.0
147,True,11.141600398429727,1.9635680812233425,5.0
148,True,10.935191283888708,2.49096529406385,5.0
149,True,8.552373035569124,1.0147511177690616,5.0
150,True,12.032245713862531,1.699544121768816,5.0
151,True,11.30829734900351,1.3625351788527365,5.0
152,True,9.689136065850471,1.208229721421101,5.0
153,True,10.694962367437464,1.0684528547040426,5.0
154,True,10.187058496542795,1.1900111202056425,5.0
155,True,10.654291291733143,1.220986563148991,5.0
156,True,13.239191682041564,1.7709299474235964,5.0
157,True,10.929509273548481,1.0743284328642395,5.0
158,True,10.139231827342883,1.004757605529467,5.0
159,True,11.38828832005218,1.3091217769685737,5.0
160,True,10.961331755777536,2.1952216782439624,5.0
161,True,11.41910124266401,1.4481514250638443,5.0
162,True,12.084299775545762,1.4231309823603615,5.0
163,True,12.68189495517845,2.3489983536118633,5.0
164,True,11.428042972258027,1.218247788038774,5.0
165,True,10.65905967820475,1.3080737646306926,5.0
166,True,10.68632273708778,1.003890507772217,5.0
167,True,10.893821908516312,1.3235171136910382,5.0
168,True,11.965998590540403,1.102055882382854,5.0
169,True,11.421243177726002,1.3234905690388752,5.0
170,True,10.840440414028127,1.0278605639968659,5.0
171,True,11.281710710248726,1.319778502569681,5.0
172,True,9.74203413090712,1.031932234068486,5.0
173,True,10.152781017589223,1.175937448531888,5.0
174,True,11.26379971934602,1.0321748062722573,5.0
175,True,11.163291604322211,1.8220344341014711,5.0
176,True,9.30778617117041,1.315816939810663,5.0
177,True,10.485041770109092,1.1638928250548715,5.0
178,True,9.150172152034132,1.2878133531284361,5.0
179,True,21.58827077963398,5.011775066646047,5.0
180,True,30.771199905773393,8.395289645448775,5.0
181,True,11.378562321652796,1.9784193553190885,5.0
182,True,11.722782923610493,2.6975511156129808,5.0
183,True,11.90612276531161,1.132038729573928,5.0
184,True,9.345854928965416,1.0019061003603318,5.0
185,True,10.570475274108746,1.3352559227691325,5.0
186,True,10.471440560739484,1.094115877207662,5.0
187,True,24.770587653780915,9.653234699884417,5.0
188,True,12.524658205619927,1.9970476098205636,5.0
189,True,16.398697318074845,2.611470285361704,5.0
190,True,10.46957692880541,1.082076088152078,5.0
191,True,11.665337276816182,1.2705061553675676,5.0
