success,truncated,collision,n_steps,obj_id,map,corridor_width,corridor_width_for_robot,memory_len
True,False,False,83,0,square_middle_corr_20,8.5,10.0,100
False,False,True,84,0,square_middle_corr_20,8.5,10.0,100
False,False,True,16,0,square_middle_corr_20,8.5,10.0,100
True,False,False,44,0,square_middle_corr_20,8.5,10.0,100
True,False,False,111,0,square_middle_corr_20,8.5,10.0,100
True,False,False,63,0,square_middle_corr_20,8.5,10.0,100
True,False,False,43,0,square_middle_corr_20,8.5,10.0,100
True,False,False,45,0,square_middle_corr_20,8.5,10.0,100
True,False,False,64,0,square_middle_corr_20,8.5,10.0,100
True,False,False,105,0,square_middle_corr_20,8.5,10.0,100
False,False,True,25,0,square_middle_corr_20,8.5,10.0,100
True,False,False,89,0,square_middle_corr_20,8.5,10.0,100
True,False,False,70,0,square_middle_corr_20,8.5,10.0,100
True,False,False,64,0,square_middle_corr_20,8.5,10.0,100
True,False,False,124,0,square_middle_corr_20,8.5,10.0,100
True,False,False,93,0,square_middle_corr_20,8.5,10.0,100
True,False,False,37,0,square_middle_corr_20,8.5,10.0,100
True,False,False,75,0,square_middle_corr_20,8.5,10.0,100
True,False,False,75,0,square_middle_corr_20,8.5,10.0,100
True,False,False,80,0,square_middle_corr_20,8.5,10.0,100
False,False,True,54,0,square_middle_corr_20,8.5,10.0,100
True,False,False,50,0,square_middle_corr_20,8.5,10.0,100
False,False,True,14,0,square_middle_corr_20,8.5,10.0,100
True,False,False,32,0,square_middle_corr_20,8.5,10.0,100
True,False,False,75,0,square_middle_corr_20,8.5,10.0,100
False,False,True,35,0,square_middle_corr_20,8.5,10.0,100
False,False,True,3,0,square_middle_corr_20,8.5,10.0,100
True,False,False,19,0,square_middle_corr_20,8.5,10.0,100
False,False,True,23,0,square_middle_corr_20,8.5,10.0,100
True,False,False,45,0,square_middle_corr_20,8.5,10.0,100
False,False,True,33,0,square_middle_corr_20,8.5,10.0,100
False,False,True,61,0,square_middle_corr_20,8.5,10.0,100
True,False,False,118,0,square_middle_corr_20,8.5,10.0,100
True,False,False,60,0,square_middle_corr_20,8.5,10.0,100
True,False,False,114,0,square_middle_corr_20,8.5,10.0,100
False,False,True,45,0,square_middle_corr_20,8.5,10.0,100
True,False,False,97,0,square_middle_corr_20,8.5,10.0,100
True,False,False,95,0,square_middle_corr_20,8.5,10.0,100
True,False,False,29,0,square_middle_corr_20,8.5,10.0,100
True,False,False,36,0,square_middle_corr_20,8.5,10.0,100
True,False,False,40,0,square_middle_corr_20,8.5,10.0,100
True,False,False,67,0,square_middle_corr_20,8.5,10.0,100
False,False,True,55,0,square_middle_corr_20,8.5,10.0,100
True,False,False,53,0,square_middle_corr_20,8.5,10.0,100
False,False,True,48,0,square_middle_corr_20,8.5,10.0,100
True,False,False,87,0,square_middle_corr_20,8.5,10.0,100
True,False,False,92,0,square_middle_corr_20,8.5,10.0,100
True,False,False,48,0,square_middle_corr_20,8.5,10.0,100
True,False,False,18,0,square_middle_corr_20,8.5,10.0,100
True,False,False,22,0,square_middle_corr_20,8.5,10.0,100
True,False,False,48,0,square_middle_corr_20,8.5,10.0,100
