success,truncated,collision,n_steps,obj_id,map,corridor_width,corridor_width_for_robot,memory_len
True,False,False,166,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,482,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,379,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,165,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,292,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,80,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,29,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,360,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,60,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,37,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,96,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,38,0,parallel_walls_corr_25,11.5,11.5,100
False,False,True,277,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,171,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,130,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,75,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,28,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,358,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,393,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,14,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,56,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,53,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,58,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,44,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,106,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,158,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,46,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,201,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,31,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,282,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,119,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,250,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,83,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,258,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,183,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,314,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,272,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,100,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,149,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,293,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,28,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,304,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,178,0,parallel_walls_corr_25,11.5,11.5,100
False,False,True,48,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,63,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,42,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,59,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,121,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,425,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,39,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,266,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,90,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,153,0,parallel_walls_corr_25,11.5,11.5,100
False,False,True,253,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,73,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,373,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,33,0,parallel_walls_corr_25,11.5,11.5,100
True,False,False,210,0,parallel_walls_corr_25,11.5,11.5,100
