success,truncated,collision,n_steps,obj_id,map,corridor_width,corridor_width_for_robot,memory_len
True,False,False,162,0,square_middle_corr_30,12.0,12.0,100
True,False,False,135,0,square_middle_corr_30,12.0,12.0,100
True,False,False,187,0,square_middle_corr_30,12.0,12.0,100
True,False,False,78,0,square_middle_corr_30,12.0,12.0,100
True,False,False,115,0,square_middle_corr_30,12.0,12.0,100
True,False,False,50,0,square_middle_corr_30,12.0,12.0,100
True,False,False,111,0,square_middle_corr_30,12.0,12.0,100
True,False,False,76,0,square_middle_corr_30,12.0,12.0,100
True,False,False,123,0,square_middle_corr_30,12.0,12.0,100
True,False,False,59,0,square_middle_corr_30,12.0,12.0,100
True,False,False,148,0,square_middle_corr_30,12.0,12.0,100
True,False,False,117,0,square_middle_corr_30,12.0,12.0,100
True,False,False,152,0,square_middle_corr_30,12.0,12.0,100
True,False,False,75,0,square_middle_corr_30,12.0,12.0,100
True,False,False,130,0,square_middle_corr_30,12.0,12.0,100
True,False,False,146,0,square_middle_corr_30,12.0,12.0,100
False,False,True,67,0,square_middle_corr_30,12.0,12.0,100
True,False,False,109,0,square_middle_corr_30,12.0,12.0,100
True,False,False,171,0,square_middle_corr_30,12.0,12.0,100
True,False,False,28,0,square_middle_corr_30,12.0,12.0,100
True,False,False,26,0,square_middle_corr_30,12.0,12.0,100
True,False,False,66,0,square_middle_corr_30,12.0,12.0,100
True,False,False,95,0,square_middle_corr_30,12.0,12.0,100
True,False,False,84,0,square_middle_corr_30,12.0,12.0,100
True,False,False,31,0,square_middle_corr_30,12.0,12.0,100
True,False,False,181,0,square_middle_corr_30,12.0,12.0,100
True,False,False,137,0,square_middle_corr_30,12.0,12.0,100
True,False,False,91,0,square_middle_corr_30,12.0,12.0,100
True,False,False,40,0,square_middle_corr_30,12.0,12.0,100
True,False,False,106,0,square_middle_corr_30,12.0,12.0,100
True,False,False,67,0,square_middle_corr_30,12.0,12.0,100
True,False,False,135,0,square_middle_corr_30,12.0,12.0,100
True,False,False,27,0,square_middle_corr_30,12.0,12.0,100
True,False,False,143,0,square_middle_corr_30,12.0,12.0,100
True,False,False,62,0,square_middle_corr_30,12.0,12.0,100
True,False,False,135,0,square_middle_corr_30,12.0,12.0,100
True,False,False,72,0,square_middle_corr_30,12.0,12.0,100
True,False,False,129,0,square_middle_corr_30,12.0,12.0,100
True,False,False,131,0,square_middle_corr_30,12.0,12.0,100
True,False,False,41,0,square_middle_corr_30,12.0,12.0,100
True,False,False,91,0,square_middle_corr_30,12.0,12.0,100
True,False,False,227,0,square_middle_corr_30,12.0,12.0,100
True,False,False,33,0,square_middle_corr_30,12.0,12.0,100
True,False,False,144,0,square_middle_corr_30,12.0,12.0,100
True,False,False,111,0,square_middle_corr_30,12.0,12.0,100
True,False,False,52,0,square_middle_corr_30,12.0,12.0,100
True,False,False,71,0,square_middle_corr_30,12.0,12.0,100
True,False,False,52,0,square_middle_corr_30,12.0,12.0,100
True,False,False,62,0,square_middle_corr_30,12.0,12.0,100
True,False,False,150,0,square_middle_corr_30,12.0,12.0,100
True,False,False,143,0,square_middle_corr_30,12.0,12.0,100
True,False,False,71,0,square_middle_corr_30,12.0,12.0,100
True,False,False,128,0,square_middle_corr_30,12.0,12.0,100
True,False,False,126,0,square_middle_corr_30,12.0,12.0,100
True,False,False,87,0,square_middle_corr_30,12.0,12.0,100
True,False,False,111,0,square_middle_corr_30,12.0,12.0,100
True,False,False,30,0,square_middle_corr_30,12.0,12.0,100
True,False,False,190,0,square_middle_corr_30,12.0,12.0,100
True,False,False,142,0,square_middle_corr_30,12.0,12.0,100
True,False,False,130,0,square_middle_corr_30,12.0,12.0,100
True,False,False,54,0,square_middle_corr_30,12.0,12.0,100
True,False,False,177,0,square_middle_corr_30,12.0,12.0,100
True,False,False,29,0,square_middle_corr_30,12.0,12.0,100
True,False,False,100,0,square_middle_corr_30,12.0,12.0,100
True,False,False,151,0,square_middle_corr_30,12.0,12.0,100
True,False,False,91,0,square_middle_corr_30,12.0,12.0,100
True,False,False,57,0,square_middle_corr_30,12.0,12.0,100
True,False,False,128,0,square_middle_corr_30,12.0,12.0,100
True,False,False,68,0,square_middle_corr_30,12.0,12.0,100
True,False,False,29,0,square_middle_corr_30,12.0,12.0,100
True,False,False,96,0,square_middle_corr_30,12.0,12.0,100
True,False,False,129,0,square_middle_corr_30,12.0,12.0,100
True,False,False,68,0,square_middle_corr_30,12.0,12.0,100
True,False,False,68,0,square_middle_corr_30,12.0,12.0,100
True,False,False,180,0,square_middle_corr_30,12.0,12.0,100
True,False,False,57,0,square_middle_corr_30,12.0,12.0,100
True,False,False,160,0,square_middle_corr_30,12.0,12.0,100
True,False,False,91,0,square_middle_corr_30,12.0,12.0,100
True,False,False,26,0,square_middle_corr_30,12.0,12.0,100
True,False,False,66,0,square_middle_corr_30,12.0,12.0,100
True,False,False,134,0,square_middle_corr_30,12.0,12.0,100
True,False,False,42,0,square_middle_corr_30,12.0,12.0,100
True,False,False,28,0,square_middle_corr_30,12.0,12.0,100
True,False,False,83,0,square_middle_corr_30,12.0,12.0,100
True,False,False,181,0,square_middle_corr_30,12.0,12.0,100
True,False,False,163,0,square_middle_corr_30,12.0,12.0,100
True,False,False,199,0,square_middle_corr_30,12.0,12.0,100
True,False,False,96,0,square_middle_corr_30,12.0,12.0,100
True,False,False,73,0,square_middle_corr_30,12.0,12.0,100
True,False,False,82,0,square_middle_corr_30,12.0,12.0,100
True,False,False,121,0,square_middle_corr_30,12.0,12.0,100
True,False,False,72,0,square_middle_corr_30,12.0,12.0,100
True,False,False,100,0,square_middle_corr_30,12.0,12.0,100
True,False,False,65,0,square_middle_corr_30,12.0,12.0,100
True,False,False,84,0,square_middle_corr_30,12.0,12.0,100
True,False,False,58,0,square_middle_corr_30,12.0,12.0,100
True,False,False,63,0,square_middle_corr_30,12.0,12.0,100
True,False,False,178,0,square_middle_corr_30,12.0,12.0,100
True,False,False,102,0,square_middle_corr_30,12.0,12.0,100
True,False,False,140,0,square_middle_corr_30,12.0,12.0,100
True,False,False,45,0,square_middle_corr_30,12.0,12.0,100
True,False,False,126,0,square_middle_corr_30,12.0,12.0,100
True,False,False,106,0,square_middle_corr_30,12.0,12.0,100
True,False,False,20,0,square_middle_corr_30,12.0,12.0,100
True,False,False,118,0,square_middle_corr_30,12.0,12.0,100
True,False,False,39,0,square_middle_corr_30,12.0,12.0,100
True,False,False,70,0,square_middle_corr_30,12.0,12.0,100
True,False,False,80,0,square_middle_corr_30,12.0,12.0,100
True,False,False,141,0,square_middle_corr_30,12.0,12.0,100
True,False,False,168,0,square_middle_corr_30,12.0,12.0,100
True,False,False,74,0,square_middle_corr_30,12.0,12.0,100
True,False,False,26,0,square_middle_corr_30,12.0,12.0,100
True,False,False,101,0,square_middle_corr_30,12.0,12.0,100
True,False,False,178,0,square_middle_corr_30,12.0,12.0,100
True,False,False,131,0,square_middle_corr_30,12.0,12.0,100
True,False,False,107,0,square_middle_corr_30,12.0,12.0,100
True,False,False,101,0,square_middle_corr_30,12.0,12.0,100
True,False,False,65,0,square_middle_corr_30,12.0,12.0,100
True,False,False,112,0,square_middle_corr_30,12.0,12.0,100
True,False,False,92,0,square_middle_corr_30,12.0,12.0,100
True,False,False,183,0,square_middle_corr_30,12.0,12.0,100
True,False,False,132,0,square_middle_corr_30,12.0,12.0,100
True,False,False,89,0,square_middle_corr_30,12.0,12.0,100
True,False,False,57,0,square_middle_corr_30,12.0,12.0,100
True,False,False,83,0,square_middle_corr_30,12.0,12.0,100
True,False,False,167,0,square_middle_corr_30,12.0,12.0,100
True,False,False,93,0,square_middle_corr_30,12.0,12.0,100
True,False,False,74,0,square_middle_corr_30,12.0,12.0,100
True,False,False,170,0,square_middle_corr_30,12.0,12.0,100
True,False,False,120,0,square_middle_corr_30,12.0,12.0,100
True,False,False,105,0,square_middle_corr_30,12.0,12.0,100
True,False,False,45,0,square_middle_corr_30,12.0,12.0,100
True,False,False,56,0,square_middle_corr_30,12.0,12.0,100
True,False,False,33,0,square_middle_corr_30,12.0,12.0,100
True,False,False,113,0,square_middle_corr_30,12.0,12.0,100
True,False,False,33,0,square_middle_corr_30,12.0,12.0,100
True,False,False,59,0,square_middle_corr_30,12.0,12.0,100
True,False,False,167,0,square_middle_corr_30,12.0,12.0,100
True,False,False,135,0,square_middle_corr_30,12.0,12.0,100
True,False,False,22,0,square_middle_corr_30,12.0,12.0,100
True,False,False,73,0,square_middle_corr_30,12.0,12.0,100
