Wall time,Step,Value
1702302024.5314748,118,0.0
1702302026.332507,404,0.0
1702302030.150004,1012,0.0
1702302038.369784,2309,0.0
1702302045.329399,3374,0.0
1702302054.735976,4827,0.0
1702302058.894968,5462,0.014285714365541935
1702302063.9976141,6267,0.012500000186264515
1702302068.682127,6996,0.011111111380159855
1702302074.357207,7879,0.009999999776482582
1702302078.0221062,8459,0.009999999776482582
1702302089.342556,10236,0.009999999776482582
1702302098.56573,11698,0.009999999776482582
1702302106.738164,13001,0.009999999776482582
1702302118.924791,14933,0.009999999776482582
1702302124.3658721,15803,0.009999999776482582
1702302127.6299121,16327,0.0
1702302129.833287,16682,0.0
1702302132.30996,17078,0.0
1702302136.594421,17765,0.0
1702302139.9346402,18299,0.0
1702302147.1949859,19465,0.0
1702302152.436369,20304,0.0
1702302160.522953,21594,0.0
1702302168.3926709,22853,0.0
1702302171.970177,23429,0.0
1702302181.7529862,24999,0.0
1702302189.504627,26248,0.0
1702302193.5811,26896,0.009999999776482582
1702302198.703446,27718,0.009999999776482582
1702302202.641504,28341,0.009999999776482582
1702302215.17202,30356,0.009999999776482582
1702302221.57691,31384,0.009999999776482582
1702302225.292255,31979,0.009999999776482582
1702302231.138284,32913,0.009999999776482582
1702302234.641193,33472,0.009999999776482582
1702302239.654128,34275,0.009999999776482582
1702302249.127682,35787,0.009999999776482582
1702302253.20919,36440,0.0
1702302259.925057,37503,0.0
1702302266.746918,38584,0.0
1702302274.890767,39873,0.0
1702302283.793966,41287,0.0
1702302297.867712,43532,0.0
1702302305.60769,44753,0.009999999776482582
1702302308.219637,45167,0.009999999776482582
1702302311.4552681,45680,0.009999999776482582
1702302316.680501,46507,0.009999999776482582
1702302330.5788212,48708,0.009999999776482582
1702302336.363872,49615,0.009999999776482582
1702302340.222075,50219,0.009999999776482582
1702302347.170126,51314,0.009999999776482582
1702302356.530686,52782,0.009999999776482582
1702302359.982162,53285,0.009999999776482582
1702302368.900608,54628,0.019999999552965164
1702302383.3423822,56770,0.05000000074505806
1702302400.134779,59309,0.05999999865889549
1702302410.617952,60951,0.07999999821186066
1702302422.282486,62764,0.10000000149011612
1702302430.114553,63978,0.10999999940395355
1702302436.963454,65041,0.10999999940395355
1702302448.512811,66851,0.10999999940395355
1702302459.3679612,68547,0.10999999940395355
1702302468.1006951,69922,0.10999999940395355
1702302484.3755672,72490,0.09000000357627869
1702302494.281329,74052,0.07000000029802322
1702302514.144535,77218,0.05999999865889549
1702302536.9142,80837,0.03999999910593033
1702302545.603722,82227,0.019999999552965164
1702302565.66492,85433,0.019999999552965164
1702302576.711338,87184,0.05000000074505806
1702302594.089779,89954,0.05999999865889549
1702302616.539211,93526,0.07000000029802322
1702302638.443022,96985,0.07999999821186066
1702302662.8889332,100820,0.10000000149011612
1702302677.9763,103058,0.18000000715255737
1702302693.6345322,105398,0.25999999046325684
1702302710.296544,107843,0.3100000023841858
1702302734.2625449,111602,0.33000001311302185
1702302746.336117,113443,0.3700000047683716
1702302763.890074,116164,0.3799999952316284
1702302771.819246,117386,0.44999998807907104
1702302783.5660632,119199,0.5199999809265137
1702302792.359164,120546,0.5899999737739563
1702302798.1077352,121430,0.6600000262260437
1702302803.874115,122309,0.6700000166893005
1702302815.2943308,124052,0.6800000071525574
1702302826.843318,125831,0.7200000286102295
1702302837.799812,127527,0.7900000214576721
1702302842.9187012,128315,0.8399999737739563
1702302855.7022562,130226,0.8899999856948853
1702302862.1372259,131151,0.9100000262260437
1702302867.32949,131904,0.9300000071525574
1702302870.2280571,132343,0.949999988079071
1702302873.9788291,132913,0.9599999785423279
1702302878.1335528,133541,0.9599999785423279
1702302881.2351081,134008,0.9700000286102295
1702302884.914762,134559,0.9800000190734863
1702302890.460792,135417,0.9800000190734863
1702302894.062948,135960,0.9800000190734863
1702302896.6726458,136355,0.9900000095367432
1702302901.7554,137122,0.9900000095367432
1702302907.481183,137996,0.9900000095367432
1702302911.3351,138583,0.9900000095367432
1702302916.968111,139450,0.9900000095367432
1702302921.1672251,140090,0.9900000095367432
1702302923.857593,140499,0.9900000095367432
1702302926.729729,140934,0.9900000095367432
1702302930.364481,141486,1.0
1702302933.203278,141920,1.0
1702302936.289623,142393,1.0
1702302939.808185,142928,1.0
1702302943.73529,143531,1.0
1702302945.3811772,143781,1.0
1702302947.330135,144077,1.0
1702302951.033386,144641,1.0
1702302953.730927,145052,1.0
1702302956.6423092,145501,1.0
1702302959.321294,145909,1.0
1702302961.920981,146304,1.0
1702302964.60137,146690,1.0
1702302968.4813042,147248,1.0
1702302970.801245,147604,1.0
1702302973.354917,147986,1.0
1702302976.0774632,148389,1.0
1702302977.88224,148656,1.0
1702302981.436351,149202,1.0
1702302985.831488,149881,1.0
1702302987.4956238,150132,1.0
1702302990.437759,150580,1.0
1702302992.495146,150892,1.0
1702302996.268642,151464,1.0
1702302998.332774,151775,1.0
1702303000.179658,152055,1.0
1702303002.024964,152334,1.0
1702303003.949044,152626,1.0
1702303005.757698,152900,1.0
1702303008.7860851,153361,1.0
1702303011.0609071,153706,1.0
1702303012.856439,153978,1.0
1702303015.7970781,154429,1.0
1702303018.124695,154784,1.0
1702303020.113379,155088,1.0
1702303021.9097269,155359,1.0
